id,name,che_number,region_town,region_canton,regionId,recipientIds,grantIds,scope1Ids,scope2Ids,innochainIds,educhainIds,coords,website
1575,Stiftung UNESCO Welterbe Schweizer Alpen Jungfrau-Aletsch,CHE-114.017.639,Naters,Valais,2,3,"1,2","1,2",2,"1,2","2,3,4,5,6,7,8","46.3227190,7.9856722",https://www.jungfraualetsch.ch/de/traegerschaft/
1577,Maya Behn-Eschenburg Stiftung,CHE-114.019.609,Zürich,Zürich,5,"2,3",2,2,"1,2",,"1,2,3,4","47.3698308,8.5438325",
1578,Peter und Annemarie Geistlich Stiftung,CHE-114.025.432,Stansstad,Nidwalden,5,"1,2,3,4","1,2","1,2",2,1,"1,2,3,4,5,6,7,8","46.9811891,8.3407684",
1579,Stiftung Zwirneli,CHE-114.036.453,Walzenhausen,Appenzell Ausserrhoden,3,"1,2,3,4","1,2","1,2",2,1,8,"47.4411617,9.5848793",http://www.zwirneli.ch/zen
1585,Forschungsstiftung Genaxen,CHE-114.081.011,Bern,Bern,6,"2,3,4",2,1,"1,2",1,,"46.9477087,7.4255497",
1588,Hilfskasse für schweizerische Waldfachleute und deren Familienangehörige,CHE-114.098.193,Zürich,Zürich,4,"1,3","1,4",2,2,,7,"47.3834362,8.5423930",http://www.forstverein.ch/fileadmin/Datenordner/hilfskasse/Flyer_Hilfskasse_Forstverein_GzD_10.3.2016.pdf
1594,Stiftung Topas,CHE-114.143.020,Thalheim AG,Aargau,5,"1,2,3,4","1,2,4","1,2","1,2","1,2","1,2,3","47.4388529,8.1069616",
1595,Fondation de l'Orangerie,CHE-114.156.755,Genève,Genève,6,"1,2,3,4",2,2,2,,8,"46.1958748,6.1479578",
1596,"Max Hauri, Stötzler - Stiftung",CHE-114.164.045,Habsburg,Aargau,1,1,4,2,"1,2",,"4,5,6","47.4639817,8.1893773",http://www.sch.ch/?rub=1476
1598,Fondation Philanthropia (Philanthropia foundation),CHE-114.255.877,Genève,Genève,5,"1,2,3,4",1,"1,2",2,1,8,"46.2029913,6.1435832",http://www.fondationphilanthropia.org/?lang=fr
1599,Stiftung Gandhi Hilfswerk Schweiz,CHE-114.260.370,Zürich,Zürich,5,"1,2","1,2,4",2,"1,2",,"4,5,6","47.3785825,8.4779987",
1601,STIFTUNG EFG INTERNATIONAL,CHE-114.270.960,Zürich,Zürich,5,"1,2,3,4","1,2,3,5","1,2","1,2","1,2","1,2,3,4,5,6,7,8","47.3688600,8.5375149",
1602,Helmut Fischer Stiftung,CHE-114.282.578,Baar,Zug,5,"1,2","1,4","1,2","1,2","2,3,4,5,6",5,"47.1953556,8.5243632",http://helmut-fischer-stiftung.ch/
1606,Fondation NORDESTA - Reforestation & Education,CHE-114.314.215,Genève,Genève,5,"1,2,3,4","2,4","1,2",2,1,8,"46.2080547,6.1434238",http://www.nordesta.org/fr
1613,Stiftung Oekomedia,CHE-114.342.080,Basel,Basel-Stadt,6,"1,2,3,4",2,2,2,,8,"47.5516742,7.5908396",
1615,Coralma Stiftung,CHE-114.366.985,Meggen,Luzern,2,"1,2,3",2,"1,2",2,"1,2",8,"47.0537501,8.3928212",
1617,Argaman Foundation,CHE-114.371.035,Aubonne,Vaud,5,"1,2,3,4",2,2,2,,8,"46.4953291,6.3918325",
1619,FONDATION PRINCE ALBERT II DE MONACO - SUISSE,CHE-114.392.385,Genève,Genève,5,"1,2,3,4",5,"1,2","1,2","1,2,3,4",8,"46.2056433,6.1363672",http://www.fpa2.org/
1622,"JANE GOODALL INSTITUT SCHWEIZ - STIFTUNG FÜR FORSCHUNG, BILDUNG UND UMWELTSCHUTZ",CHE-114.404.456,Zürich,Zürich,5,"2,3","2,3","1,2",2,"1,2","1,2,3,4,5,6,7,8","47.3978168,8.5505743",
1624,Jura-Stiftung für Sediment- und Strukturgeologie,CHE-114.412.214,Zürich,Zürich,5,"1,2,3,4","2,4","1,2",2,1,5,"47.3681441,8.5393976",
1625,"Fundaziun Chapella, Center per furmaziun e perscrutaziun, S-chanf",CHE-114.412.473,Cinuos-chel,Graubünden,2,"2,3,4",2,"1,2",2,"1,2","1,2,3,4,5,6,7,8","46.6324942,10.0141668",
1629,Veronika und Hugo Bohny Stiftung,CHE-114.428.008,Meilen,Zürich,5,"1,3,4","2,5","1,2","1,2","3,4",8,"47.2729248,8.6261235",http://www.vhbstiftung.ch/
1630,Fondation ImpactHope (Foundation ImpactHope),CHE-114.429.321,Bourguillon,Fribourg,5,3,2,2,"1,2",,8,"46.8006500,7.1771571",http://www.impacthope.net/index.php/fr/
1632,BDN Engiadina Stiftung,CHE-114.439.644,Samedan,Graubünden,2,"1,3","2,4",2,2,,"4,5,6,7,8","46.5325850,9.8712053",
1635,Klimastiftung Schweiz,CHE-114.448.672,Zürich,Zürich,4,4,"1,2",1,"1,2","2,3,4,5,6",,"47.3592631,8.5351676",http://www.klimastiftung.ch/
1640,Fondazione Futuro Calanca,CHE-114.474.675,Landarenca,Graubünden,2,"1,2,3,4","2,4","1,2",2,"1,2,3,4,5,6",8,"46.3181564,9.1261451",
1641,Messerli-Stiftung,CHE-114.482.976,Sörenberg,Luzern,5,"1,3","2,4",1,2,"1,2",,"46.8136550,7.9959100",http://www.berggasthaus-salwideli.ch/messerli-stiftung/
1654,St. Galler Stiftung zur Förderung studentischer Aktivitäten,CHE-114.536.939,Rorschach,St. Gallen,3,3,1,2,"1,2",,"5,6","47.4730557,9.5035820",
1655,Fondazione Pellicano,CHE-114.538.878,Lugano,Ticino,5,"2,3,4","1,2,3",2,"1,2",,"1,2,3,4,5,6,7","46.0067271,8.9584157",
1656,Stiftung Inspire,CHE-114.540.579,Zürich,Zürich,4,4,1,"1,2","1,2","2,3,4,5,6","5,6,7,8","47.3901869,8.5158465",
1657,Fondazione paesaggio Mont Grand a Soazza,CHE-114.544.471,Soazza,Graubünden,2,"1,3",3,"1,2",2,"1,2",8,"46.3447952,9.2452698",http://www.fondazionemontgrand.ch/index.php?__id=96&rt=Page&act=readpage&pid=5
1658,Fondation E. et G. GELBERT,CHE-114.548.687,Genève,Genève,2,"1,2,3",2,"1,2","1,2",2,8,"46.2024709,6.1547259",http://www.fondation-gelbert.ch/v2/
1659,FONDATION PETERSBERG PRO PLANTA ET NATURA,CHE-114.548.836,Kilchberg,Zürich,4,"1,2,3","1,2,4","1,2",2,"1,2","1,2,3,4,5,6,7,8","47.3242297,8.5470948",
1661,Fondazione Tralcio,CHE-114.558.243,Lugano,Ticino,5,"3,4",2,1,"1,2",1,,"46.0075564,8.9542299",
1664,NOMIS STIFTUNG,CHE-114.571.580,Zürich,Zürich,5,"2,3",2,"1,2","1,2",1,8,"47.3673193,8.5376496",
1665,"Stiftung ""Hoffnung für notleidende Mitmenschen in Afrika"" (Hope)",CHE-114.580.834,Allenwinden,Zug,5,"2,3",1,2,2,,"2,3","47.1700534,8.5440131",
1675,Foundation - Global Risk Forum GRF Davos,CHE-114.620.712,Davos Platz,Graubünden,5,"1,2,3,4",2,"1,2",2,2,8,"46.7926247,9.8191515",http://grforum.org/
1679,Stiftung Horyzon,CHE-114.638.770,Olten,Solothurn,5,3,2,2,2,,"2,3,4,5,6,7,8","47.3497027,7.9112811",http://www.horyzon.ch/
1684,Fondation Pictet pour le développement,CHE-114.667.369,Anières,Genève,5,"1,3","2,4",2,"1,2",,5,"46.2747297,6.2201992",https://www.group.pictet/corporate/fr/home/about_pictet/corporate_citizenship/charitable_foundation.html
1685,Yvonne und Alberto Galbiati-Stiftung,CHE-114.668.386,Zürich,Zürich,4,"1,3,4",2,1,"1,2","3,4,5,6",,"47.3631887,8.5572914",http://www.galbiati-stiftung.ch/
